是否參加,姓名,暱稱,分類,子分類,眷屬,葷素,想同桌人選,避免同桌,備註
是,周杰倫,Jay,男方,華語男歌手,1,葷,蕭敬騰,蔡依林、吳宗憲,帶太太
是,蕭敬騰,老蕭,男方,華語男歌手,1,葷,周杰倫、林俊傑,,帶太太
是,林俊傑,JJ,男方,華語男歌手,1,葷,蕭敬騰、韋禮安,,帶女友
是,陳信宏,阿信,男方,華語男歌手,0,葷,怪獸、瑪莎、石頭,,
是,盧廣仲,,男方,華語男歌手,0,素,林宥嘉,,
是,林宥嘉,,男方,華語男歌手,1,葷,盧廣仲,,帶太太
是,吳青峰,青峰,男方,華語男歌手,0,葷,陳信宏、韋禮安,,
是,韋禮安,,男方,華語男歌手,0,葷,林俊傑、吳青峰,,
是,蕭煌奇,,男方,華語男歌手,1,葷,盧廣仲,,帶友人；視障需引導座位
是,周興哲,Eric,男方,華語男歌手,1,葷,韋禮安,,帶女友
是,蔡依林,Jolin,女方,華語女歌手,0,素,田馥甄,周杰倫,
是,張惠妹,阿妹,女方,華語女歌手,1,葷,A-Lin、陶晶瑩,,帶經紀人
是,田馥甄,Hebe,女方,華語女歌手,0,素,蔡依林、魏如萱,,
是,A-Lin,,女方,華語女歌手,1,葷,張惠妹、徐佳瑩,,帶先生
是,徐佳瑩,LaLa,女方,華語女歌手,1,葷,A-Lin、魏如萱,,帶先生
是,魏如萱,娃娃,女方,華語女歌手,0,葷,田馥甄、9m88,,
是,孫燕姿,,女方,華語女歌手,1,葷,梁靜茹,,帶先生
是,梁靜茹,,女方,華語女歌手,0,葷,孫燕姿、楊丞琳,,
是,9m88,,女方,華語女歌手,0,葷,魏如萱,,
是,楊丞琳,,女方,華語女歌手,1,葷,梁靜茹、Lulu黃路梓茵,,帶先生
是,許光漢,,男方,台劇男星,0,葷,柯佳嬿、劉冠廷,,
是,吳慷仁,,男方,台劇男星,0,葷,張孝全、謝盈萱,,
是,陳柏霖,,男方,台劇男星,0,葷,桂綸鎂,邱澤,
是,劉冠廷,,男方,台劇男星,1,葷,許光漢、林柏宏,,帶太太
是,林柏宏,,男方,台劇男星,0,葷,劉冠廷、鳳小岳,,
是,鳳小岳,,男方,台劇男星,1,葷,林柏宏,,帶太太
是,邱澤,,男方,台劇男星,1,葷,張孝全,陳柏霖,帶太太
是,張孝全,,男方,台劇男星,1,葷,吳慷仁、邱澤,,帶太太
是,柯佳嬿,,女方,台劇女星,1,葷,許光漢、林依晨,,帶先生
是,林依晨,,女方,台劇女星,1,葷,陳意涵、柯佳嬿,,帶先生
是,桂綸鎂,,女方,台劇女星,0,葷,陳柏霖、張鈞甯,,
是,張鈞甯,,女方,台劇女星,0,葷,桂綸鎂、賈靜雯,,
是,賈靜雯,,女方,台劇女星,2,葷,張鈞甯,,帶先生和小孩
是,陳意涵,,女方,台劇女星,1,葷,林依晨、簡嫚書,,帶先生
是,簡嫚書,,女方,台劇女星,0,葷,陳意涵、謝盈萱,,
是,謝盈萱,,女方,台劇女星,0,葷,吳慷仁、簡嫚書,,
是,吳宗憲,憲哥,男方,綜藝咖,2,葷,曾國城、張菲,周杰倫,帶太太和女兒
是,浩子,,男方,綜藝咖,1,葷,曾國城、Lulu黃路梓茵,阿翔,帶太太
是,阿翔,,男方,綜藝咖,1,葷,Lulu黃路梓茵,浩子,帶太太
是,Lulu黃路梓茵,Lulu,女方,綜藝咖,0,葷,浩子、陶晶瑩,,
是,曾國城,,男方,綜藝咖,1,葷,吳宗憲、浩子,,帶太太
是,陶晶瑩,陶子,女方,綜藝咖,1,葷,張惠妹、Lulu黃路梓茵,,帶先生
是,怪獸,,男方,樂團,1,葷,陳信宏、瑪莎、石頭,,帶太太
是,瑪莎,,男方,樂團,1,葷,陳信宏、怪獸、石頭,,帶太太
是,石頭,,男方,樂團,1,葷,陳信宏、怪獸、瑪莎,,帶太太
是,潘雲安,,男方,樂團,0,葷,犬青,,
是,犬青,,男方,樂團,0,葷,潘雲安,,
是,張小燕,,共同,長輩,1,葷,蔡康永,,帶助理
是,蔡康永,,共同,長輩,1,葷,張小燕、陶晶瑩,,帶友人
是,吳念真,,共同,長輩,1,葷,張菲,,帶太太
是,張菲,,共同,長輩,0,葷,吳念真、吳宗憲,,
是,陳美玲,,女方,家人,1,葷,林秀珠,,帶先生
是,陳建宏,,女方,家人,2,葷,陳美玲,,帶太太和小孩
是,林秀珠,,女方,家人,0,葷,陳美玲,,
是,王志明,,男方,家人,1,葷,王淑芬,,帶太太
是,王淑芬,,男方,家人,2,葷,王志明,,帶先生和小孩
是,王俊傑,,男方,家人,0,葷,王志明、王淑芬,,
否,蕭亞軒,,女方,華語女歌手,0,葷,,,行程衝突
否,彭于晏,,男方,台劇男星,0,葷,,,海外拍戲
否,黃子佼,,男方,綜藝咖,0,葷,,,婉拒出席
否,蔡健雅,Tanya,女方,華語女歌手,0,素,,,人在新加坡
