是否參加,姓名,暱稱,分類,子分類,眷屬,葷素,想同桌人選,避免同桌,備註
是,賴清德,,男方,民進黨,2,葷,蕭美琴、陳其邁,侯友宜,帶太太及隨行秘書
是,蕭美琴,,男方,民進黨,1,葷,賴清德、林佳龍,,帶隨行人員
是,林佳龍,,男方,民進黨,1,葷,蕭美琴、陳其邁,,帶太太
是,鄭文燦,,男方,民進黨,1,葷,林佳龍、林右昌,,帶太太
是,陳其邁,,男方,民進黨,1,葷,賴清德、林右昌,,帶太太
是,林右昌,,男方,民進黨,1,葷,鄭文燦、陳其邁,,帶太太
是,王定宇,,男方,民進黨,1,葷,林楚茵、陳其邁,,帶太太
是,林楚茵,,男方,民進黨,1,葷,王定宇、高嘉瑜,,帶友人
是,高嘉瑜,,男方,民進黨,1,葷,林楚茵、王世堅,徐巧芯,帶助理
是,王世堅,,男方,民進黨,1,葷,高嘉瑜、賴清德,趙少康,帶太太
是,蔣萬安,,女方,國民黨,2,葷,盧秀燕、江啟臣,柯文哲,帶太太及小孩
是,侯友宜,,女方,國民黨,1,葷,趙少康、蔣萬安,賴清德,帶太太
是,趙少康,,女方,國民黨,1,葷,侯友宜、蔣萬安,王世堅、周玉蔻,帶太太
是,盧秀燕,,女方,國民黨,1,葷,蔣萬安、江啟臣,,帶先生
是,江啟臣,,女方,國民黨,1,葷,盧秀燕、蔣萬安,,帶太太
是,朱立倫,,女方,國民黨,1,葷,侯友宜、蔣萬安,柯文哲,帶太太
是,徐巧芯,,女方,國民黨,1,葷,王鴻薇、游淑慧,高嘉瑜,帶先生
是,王鴻薇,,女方,國民黨,1,葷,徐巧芯、李彥秀,,帶友人
是,游淑慧,,女方,國民黨,1,葷,徐巧芯、王鴻薇,,帶友人
是,李彥秀,,女方,國民黨,1,葷,王鴻薇、游淑慧,,帶先生
是,柯文哲,,共同,民眾黨,2,葷,黃國昌、黃珊珊,蔣萬安、朱立倫,帶太太及兒子
是,黃國昌,,共同,民眾黨,1,葷,柯文哲、陳琬惠,林昶佐,帶太太
是,黃珊珊,,共同,民眾黨,1,葷,柯文哲、張其祿,,帶友人
是,陳琬惠,,共同,民眾黨,1,葷,黃國昌、張其祿,,帶先生
是,張其祿,,共同,民眾黨,1,葷,黃珊珊、陳琬惠,,帶太太
是,林昶佐,,男方,時代力量,1,葷,邱顯智、王婉諭,黃國昌,帶太太
是,邱顯智,,男方,時代力量,1,葷,林昶佐、陳椒華,,帶太太
是,王婉諭,,男方,時代力量,1,葷,林昶佐、陳椒華,,帶先生
是,陳椒華,,男方,時代力量,1,素食,邱顯智、王婉諭,,帶友人
是,黃暐瀚,,共同,政論名嘴,1,葷,劉寶傑、鄭知仁,,帶太太
是,鄭知仁,,共同,政論名嘴,1,葷,黃暐瀚、謝寒冰,,帶太太
是,謝寒冰,,共同,政論名嘴,1,葷,鄭知仁、黃暐瀚,,帶友人
是,周玉蔻,,共同,政論名嘴,1,葷,彭文正,趙少康,帶助理
是,彭文正,,共同,政論名嘴,1,葷,周玉蔻,,帶太太
是,劉寶傑,,共同,政論名嘴,1,葷,黃暐瀚、鄭知仁,,帶太太
是,沈春華,,共同,媒體人,1,葷,方念華、李四端,,帶先生
是,方念華,,共同,媒體人,1,葷,沈春華、夏嘉璐,,帶先生
是,李四端,,共同,媒體人,1,葷,沈春華、方念華,,帶太太
是,夏嘉璐,,共同,媒體人,1,葷,方念華、沈春華,,帶先生
是,陳淑芬,,男方,家人,2,葷,林志明、陳美玲,,帶先生及小孩
是,林志明,,男方,家人,1,葷,陳淑芬、陳美玲,,帶太太
是,陳美玲,,男方,家人,1,葷,陳淑芬、林志明,,帶先生
是,張秀英,,女方,家人,2,葷,李建國、張淑惠,,帶先生及小孩
是,李建國,,女方,家人,1,葷,張秀英、張淑惠,,帶太太
是,張淑惠,,女方,家人,1,素食,張秀英、李建國,,帶先生
否,韓國瑜,,女方,國民黨,0,葷,,,出國行程衝突
否,柯建銘,,男方,民進黨,0,葷,,,立院臨時會議
否,陳柏惟,,男方,時代力量,0,葷,,,人在國外
否,蔡壁如,,共同,民眾黨,0,葷,,,身體微恙婉拒
