是否參加,姓名,暱稱,分類,子分類,眷屬,葷素,想同桌人選,避免同桌,備註
是,王建民,阿民,男方,棒球MLB,2,葷,陳偉殷,,攜妻與兒子出席
是,陳偉殷,小殷,男方,棒球MLB,1,葷,王建民,,攜妻出席
是,張育成,育成,男方,棒球MLB,1,葷,林子偉,,攜女友出席
是,林子偉,子偉,男方,棒球MLB,1,葷,張育成,,攜妻出席
是,曹佑寧,佑寧,男方,棒球MLB,1,葷,王建民,,攜女友出席
是,陳傑憲,憲憲,男方,棒球CPBL,0,葷,林安可、林襄,詹子賢,
是,林安可,安可,男方,棒球CPBL,1,葷,陳傑憲,,攜女友出席
是,吉力吉撈·鞏冠,大師兄,男方,棒球CPBL,1,葷,林安可、陳傑憲,,攜妻出席
是,詹子賢,子賢,男方,棒球CPBL,1,葷,林泓育,陳傑憲,攜女友出席
是,林泓育,泓育,男方,棒球CPBL,1,葷,詹子賢,,攜妻出席
是,王柏融,大王,男方,棒球CPBL,1,葷,陽岱鋼,,攜妻出席
是,張奕,阿奕,男方,棒球CPBL,1,葷,王柏融,,攜妻出席
是,陽岱鋼,鋼哥,男方,棒球CPBL,2,葷,王柏融,,攜妻與女兒出席
是,陳盈駿,盈駿,男方,籃球,1,葷,劉錚、蔣淯安,,攜女友出席
是,劉錚,阿錚,男方,籃球,1,葷,陳盈駿,,攜妻出席
是,林志傑,野獸,男方,籃球,2,葷,陳盈駿,田壘,攜妻與兒子出席
是,田壘,壘哥,男方,籃球,1,葷,蔣淯安,林志傑,攜妻出席
是,蔣淯安,小蔣,男方,籃球,0,葷,陳盈駿、田壘,,
是,戴資穎,小戴,共同,羽球,0,素,郭婞淳、王齊麟,,全素
是,周天成,天成,共同,羽球,1,葷,王齊麟、李洋,,攜女友出席
是,王齊麟,阿麟,共同,羽球,0,葷,李洋、戴資穎,,
是,李洋,阿洋,共同,羽球,0,葷,王齊麟、周天成,,
是,許雅晴,雅晴,共同,羽球,1,葷,戴資穎,,攜男友出席
是,郭婞淳,婞淳,共同,舉重田徑,0,葷,戴資穎、文姿云,,
是,楊俊瀚,俊瀚,共同,舉重田徑,1,葷,陳奎儒,,攜女友出席
是,陳奎儒,奎儒,共同,舉重田徑,0,葷,楊俊瀚、鄭兆村,,
是,鄭兆村,兆村,共同,舉重田徑,1,葷,陳奎儒,,攜妻出席
是,文姿云,姿云,共同,舉重田徑,1,葷,郭婞淳,,攜男友出席
是,林襄,襄襄,女方,啦啦隊,0,素,陳傑憲、峮峮、巫苡萱,,蛋奶素
是,峮峮,峮峮,女方,啦啦隊,1,葷,林襄、巫苡萱,,攜男友出席
是,巫苡萱,苡萱,女方,啦啦隊,1,葷,林襄、峮峮,,攜男友出席
是,籃籃,籃籃,女方,啦啦隊,0,葷,短今、泱泱,,
是,短今,短今,女方,啦啦隊,0,葷,籃籃、倪暄,,
是,泱泱,泱泱,女方,啦啦隊,1,葷,籃籃、琳妲,,攜男友出席
是,倪暄,倪暄,女方,啦啦隊,0,葷,短今、琳妲,,
是,琳妲,琳妲,女方,啦啦隊,0,葷,泱泱、倪暄,,
是,徐展元,展元哥,共同,體育主播,1,葷,田鴻魁,,攜妻出席
是,田鴻魁,鴻魁,共同,體育主播,1,葷,徐展元、常富寧,,攜妻出席
是,常富寧,富寧,共同,體育主播,1,葷,田鴻魁、錢定遠,,攜妻出席
是,錢定遠,定遠,共同,體育主播,0,葷,常富寧,,
是,洪一中,洪總,男方,教練前輩,1,葷,潘武雄,彭政閔,攜妻出席
是,彭政閔,恰恰,男方,教練前輩,1,葷,陳金鋒,洪一中,攜妻出席
是,陳金鋒,鋒哥,男方,教練前輩,1,葷,彭政閔,,攜妻出席
是,潘武雄,武雄,男方,教練前輩,1,葷,洪一中,,攜妻出席
是,林正雄,爸爸,男方,家人,1,葷,林美惠,,攜母親出席
是,林美惠,姊姊,男方,家人,1,葷,林正雄、林俊宏,,攜夫出席
是,林俊宏,弟弟,男方,家人,2,葷,林美惠,,攜妻與女兒出席
是,林阿嬤,阿嬤,男方,家人,0,葷,林正雄,,
是,張淑芬,媽媽,女方,家人,1,葷,張家豪、張志明,,攜父親出席
是,張家豪,哥哥,女方,家人,2,葷,張淑芬,,攜妻與兒子出席
是,張志明,舅舅,女方,家人,1,葷,張淑芬,,攜妻出席
是,張雅琪,阿姨,女方,家人,1,葷,張淑芬,,攜夫出席
否,黃志豪,,男方,棒球CPBL,0,葷,,,工作無法出席
否,李國豪,,男方,籃球,0,葷,,,人在國外
否,陳詩欣,,共同,舉重田徑,0,葷,,,行程衝突
否,趙筱雅,,女方,啦啦隊,0,葷,,,身體不適
否,曾仁和,,男方,棒球MLB,0,葷,,,旅外無法返台
