是否參加,姓名,暱稱,分類,子分類,眷屬,葷素,想同桌人選,避免同桌,備註
是,志祺七七,七七,男方,知識型,1,葷,阿滴、啾啾鞋,,帶太太
是,阿滴,Ray Du,男方,知識型,1,葷,志祺七七、滴妹,,帶女友
是,啾啾鞋,,男方,知識型,1,葷,志祺七七、PanSci泛科學,,帶太太
是,好味小姐,,女方,知識型,1,素食,臺客劇場林辰,,帶男友
是,臺客劇場林辰,林辰,男方,知識型,1,葷,好味小姐、超粒方,,帶女友
是,PanSci泛科學,泛科學,男方,知識型,1,葷,啾啾鞋、志祺七七,,帶太太
是,超粒方,,男方,知識型,0,葷,臺客劇場林辰、啾啾鞋,,
是,老高與小茉,老高,共同,知識型,1,葷,志祺七七,,帶太太小茉
是,蔡阿嘎,蔡桃貴他爸,男方,搞笑型,1,葷,HowHow、Joeman,,帶太太二伯
是,HowHow,陳孜昊,男方,搞笑型,1,葷,蔡阿嘎、Joeman,,帶太太阿福
是,黃大謙,,男方,搞笑型,1,葷,HowHow、蔡阿嘎,,帶女友
是,鍾明軒,,共同,搞笑型,0,葷,這群人茵聲,愛莉莎莎、反骨男孩酷炫,
是,反骨男孩酷炫,酷炫,男方,搞笑型,1,葷,反骨男孩蕾菈、蔡阿嘎,鍾明軒,帶女友
是,反骨男孩蕾菈,蕾菈,女方,搞笑型,0,葷,反骨男孩酷炫,,
是,這群人尼克,尼克,男方,搞笑型,1,葷,這群人茵聲、蔡阿嘎,,帶太太
是,這群人茵聲,茵聲,女方,搞笑型,0,葷,這群人尼克、鍾明軒,,
是,阿翰,,男方,搞笑型,0,葷,黃大謙、聖結石,,
是,聖結石,,男方,搞笑型,1,葷,阿翰、HowHow,,帶太太
是,白癡公主,,女方,搞笑型,0,葷,這群人茵聲、反骨男孩蕾菈,,
是,黃氏兄弟瑋瑋,瑋瑋,男方,搞笑型,0,葷,黃氏兄弟哲哲、蔡阿嘎,,
是,黃氏兄弟哲哲,哲哲,男方,搞笑型,0,葷,黃氏兄弟瑋瑋、HowHow,,
是,千千,千千進食中,女方,美食型,1,葷,古娃娃、滴妹,,帶男友
是,古娃娃,,女方,美食型,1,葷,千千、大蛇丸,,帶男友
是,大蛇丸,,男方,美食型,0,葷,古娃娃、Joeman,,
是,Joeman,九妹,男方,美食型,1,葷,蔡阿嘎、HowHow,愛莉莎莎,帶女友
是,滴妹,,女方,知識型,0,葷,阿滴、千千,,
是,美食水水哥,水水哥,男方,美食型,0,葷,大蛇丸、千千,,
是,統神,亞洲統神,男方,遊戲實況,1,葷,魯蛋、六嘆,Toyz,帶太太
是,魯蛋,,男方,遊戲實況,1,葷,統神、小葵XiaoKui,,帶女友
是,小葵XiaoKui,小葵,女方,遊戲實況,0,葷,魯蛋、六嘆,,
是,Toyz,,男方,遊戲實況,0,葷,六嘆,統神,
是,六嘆,,男方,遊戲實況,1,葷,統神、Toyz,,帶太太
是,安啾,AnJouLe,女方,遊戲實況,0,葷,小葵XiaoKui、魯蛋,,
是,百靈果Ken,Ken,男方,Podcast圈,1,葷,百靈果凱莉、股癌,,帶太太
是,百靈果凱莉,凱莉,女方,Podcast圈,0,葷,百靈果Ken、呱吉邱威傑,,
是,股癌,謝孟恭,男方,Podcast圈,1,葷,百靈果Ken,,帶太太
是,台灣通勤第一品牌李毅誠,李毅誠,男方,Podcast圈,1,葷,股癌、呱吉邱威傑,,帶太太
是,呱吉邱威傑,呱吉,男方,Podcast圈,1,葷,百靈果凱莉、台灣通勤第一品牌李毅誠,,帶太太
是,上班不要看呱呱,呱呱,共同,Podcast圈,0,葷,呱吉邱威傑、百靈果Ken,,
是,愛莉莎莎,莎莎,女方,美妝穿搭,0,葷,那那大師,理科太太、鍾明軒、Joeman,
是,理科太太,,女方,美妝穿搭,1,葷,Hello Catie、黃小米,愛莉莎莎,帶先生
是,黃小米,,女方,美妝穿搭,0,葷,理科太太、那那大師,,
是,那那大師,,女方,美妝穿搭,0,葷,愛莉莎莎、Hello Catie,,
是,Hello Catie,Catie,女方,美妝穿搭,0,葷,理科太太、黃小米,,
是,Mira,,女方,美妝穿搭,0,葷,Hello Catie、黃小米,,
是,Rio,,共同,Dcard,0,葷,Leo、YY,,
是,Leo,,共同,Dcard,0,葷,Rio、主委,,
是,YY,,共同,Dcard,0,葷,Rio、戶米,,
是,戶米,,共同,Dcard,1,葷,YY、Ellie,,帶女友
是,主委,,共同,Dcard,0,葷,Leo、Ellie,,
是,Ellie,,共同,Dcard,0,葷,主委、戶米,,
是,陳志明,,男方,家人,2,葷,王建國,,帶太太和女兒
是,林美玲,,女方,家人,1,葷,張淑芬,,帶先生
是,王建國,,男方,家人,1,葷,陳志明,,帶太太
是,張淑芬,,女方,家人,2,葷,林美玲、陳淑惠,,帶先生和兒子
是,李文華,,男方,家人,1,素食,王建國,,帶太太
是,陳淑惠,,女方,家人,0,葷,張淑芬、林美玲,,
是,張家豪,,男方,家人,1,葷,陳志明、王建國,,帶太太
是,林雅婷,,女方,家人,0,葷,陳淑惠,,
是,王志宏,,男方,家人,1,葷,李文華,,帶太太
是,陳美鳳,,女方,家人,0,素食,林美玲、張淑芬,,
否,小玉,Xiaoyu,男方,搞笑型,0,葷,,,工作衝突
否,放火,Louis,男方,搞笑型,0,葷,,,出國拍攝
否,阿圓,Ah Yuan,女方,美食型,0,葷,,,待產中
否,視網膜,,男方,Podcast圈,0,葷,,,身體不適
否,丹妮婊姐,婊姐,女方,美妝穿搭,0,葷,,,出差無法出席
