是否參加,姓名,暱稱,分類,子分類,眷屬,葷素,想同桌人選,避免同桌,備註
是,王小明,阿明,男方,台積電同事,0,葷,李美玲,,
是,趙國強,,男方,台積電同事,0,葷,王小明、許志豪,,
是,潘建志,阿潘,男方,台積電同事,0,葷,王小明、趙國強,,
是,林志遠,阿遠,男方,台積電同事,0,葷,趙國強,,
是,陳柏宇,柏宇,男方,台積電同事,1,葷,王小明,,帶太太
是,許志豪,小豪,男方,聯發科同事,0,素食,邱政達,,
是,楊宗翰,阿翰,男方,聯發科同事,2,葷,許志豪,,帶太太和1個嬰兒，需嬰兒椅
是,邱政達,阿達,男方,聯發科同事,0,葷,許志豪、楊宗翰,,
是,黃俊傑,阿傑,男方,聯發科同事,0,葷,邱政達,,
是,張大華,,男方,建中同學,0,葷,陳志偉、林家豪,,
是,陳志偉,阿偉,男方,建中同學,0,葷,張大華,,
是,林家豪,阿豪,男方,建中同學,1,葷,張大華,,帶太太
是,吳宗憲,小憲,男方,建中同學,0,葷,張大華、陳志偉,,
是,廖家銘,,男方,研究所同學,0,葷,曾柏翰,,
是,曾柏翰,小曾,男方,研究所同學,0,葷,廖家銘,,
是,張育銘,,男方,KKBOX同事,0,葷,游智凱,,
是,游智凱,阿凱,男方,KKBOX同事,0,葷,張育銘,,
是,李美玲,美玲,女方,Google同事,1,素食,王小明,,帶先生
是,陳怡君,怡君姐,女方,Google同事,0,葷,李美玲、謝宜蓁,吳佳慧,
是,謝宜蓁,蓁蓁,女方,Google同事,1,葷,李美玲、陳怡君,,帶小孩（5歲）需兒童椅
是,吳佳慧,小慧,女方,Google同事,0,葷,陳怡君,陳怡君,
是,周雅婷,婷婷,女方,台大同學,1,葷,蘇曉萱、何佩珊,,帶先生
是,蘇曉萱,萱萱,女方,台大同學,0,葷,周雅婷,,
是,何佩珊,珊珊,女方,台大同學,0,葷,周雅婷、蘇曉萱,,
是,黃詩涵,涵涵,女方,台大同學,0,葷,蘇曉萱,,
是,劉心怡,心怡,女方,瑜珈班朋友,0,素食,洪雅琪,,
是,洪雅琪,琪琪,女方,瑜珈班朋友,0,葷,劉心怡、呂雅雯,,
是,呂雅雯,雯雯,女方,瑜珈班朋友,0,素食,劉心怡、洪雅琪,,
是,林淑芳,小芳,女方,家人,2,葷,鄭雅文,,帶先生和小孩（10歲）
是,鄭雅文,雅文,女方,家人,1,葷,林淑芳、蔡佳穎,,帶小孩（3歲）需兒童椅
是,蔡佳穎,小穎,女方,家人,0,葷,鄭雅文,,
是,葉淑惠,葉姐,女方,家人,1,葷,林淑芳、蔡佳穎,,帶先生
是,吳建宏,,男方,家人,0,忌口牛肉,,,輪椅
是,王淑娟,王阿姨,女方,家人,0,葷,葉淑惠,,
是,郭美玲,郭姨,女方,鄰居,0,葷,,,
是,孫明德,孫叔,共同,長輩,0,葷,,,
是,陳秀蘭,蘭姐,共同,長輩,1,葷,孫明德,,帶先生
是,徐文彬,阿彬,共同,健身房朋友,0,葷,馬克、Jessica,,
是,馬克,Mark,共同,健身房朋友,0,葷,徐文彬,,
是,Jessica,JC,共同,健身房朋友,0,素食,徐文彬、馬克,,
是,吳奕廷,小廷,共同,教會朋友,0,葷,鄭恩慈、陳雅真,,
是,鄭恩慈,恩慈,共同,教會朋友,0,葷,吳奕廷,,
是,陳雅真,雅真,共同,教會朋友,1,葷,吳奕廷、鄭恩慈,,帶小孩（7歲）
是,張哲瑋,哲瑋,男方,台積電同事,0,葷,潘建志,林志遠,
是,沈芷萱,芷萱,女方,台大同學,0,葷,何佩珊,,
是,鍾佳蓉,佳蓉,共同,鄰居,0,葷,郭美玲,,
是,方嘉琪,小琪,女方,瑜珈班朋友,1,葷,洪雅琪,,帶先生
否,方志遠,,男方,建中同學,0,葷,,,
否,黃大明,大明,男方,台積電同事,0,葷,,,
否,蔡明達,,共同,健身房朋友,0,葷,,,
